Date,Title
2018-07-25,Microsoft’s Outlook.com dark mode is now live
2018-07-25,Back to Microsoft Band 2?
2018-07-26,Microsoft’s Xbox Adaptive Controller has packaging that gamers with disabilities can open without their teeth
2018-07-26,Windows 10 now uses machine learning to stop updates installing when a PC is in use
2018-07-27,"Microsoft health unit is a 'multi-billion dollar business,' medical chief says"
2018-07-28,Microsoft employees question CEO Satya Nadella over company's contract with ICE
2018-07-28,Microsoft is rolling out a new update for SMS Organizer app for Android users
2018-07-28,"How Steve Ballmer went from earning $50,000 at Microsoft to becoming a billionaire"
2018-07-28,"Mark Suttleworth Joins Stallman, Praises Microsoft Azure OS"
2018-07-29,Microsoft support made my day
2018-07-30,"Hope this is the right place, problems with adding payment options for xbox one"
2018-07-30,An open letter to Microsoft management re: Windows updating
2018-07-31,Microsoft boosts Office 2019 price by 10%
2018-07-31,O365 & Microsoft 365 security products
2018-07-31,Introducing Web Authentication in Microsoft Edge
2018-08-01,Microsoft starts testing Your Phone Windows 10 app that mirrors phone content to a PC
2018-08-01,Mac vs PC? Google savages Apple and Microsoft in new Chromebook ad
2018-08-02,Microsoft Launcher for Android Updated With New Features
2018-08-02,Microsoft Edge will finally ditch passwords in favor of more secure biometrics
2018-08-02,Microsoft Surface Go hands-on
2018-08-02,Why don't they use Segoe UI?
2018-08-03,Bing Just Got a Whole Lot Smarter
2018-08-03,The owner of the New York Stock Exchange is teaming up with Microsoft and Starbucks to build an 'ecosystem' for crypto
2018-08-03,Advice on pivoting from SQL Server DBA (10+ years experience) to Azure and AI
2018-08-03,Windows updaters express frustrations. Microsoft responds.
2018-08-04,Microsoft's M12 leads $6.2 million investment in Hyas to catch cybercriminals
2018-08-04,Outlook for Android adds work/life balance feature
2018-08-04,"No, Microsoft Isn’t Turning Windows 10 Into a Paid Subscription Service"
2018-08-04,The forgotten Microsoft deal that saved Apple from bankruptcy
2018-08-05,Microsoft support is amazing.
2018-08-06,Microsoft Has a Plan to Fix Those Annoying “Update Your Computer!” Pop-Ups. Thank Goodness.
2018-08-06,Is it allowed to do MCSE exams without any pre-MCSA exams?
2018-08-06,It's clear that new Skype is not created by people that actually use Skype
2018-08-06,"Microsoft Releases Remote ""Push to Install"" Feature in Windows 10 Store App"
2018-08-06,Microsoft adds Slack to official list of Office rivals as workplace collaboration wars escalate
2018-08-06,Microsoft joins Movies Anywhere service for Xbox and Windows 10
2018-08-07,Microsoft Office for Android and iOS are getting new features to act more like PCs
2018-08-07,Microsoft Pay Integrates With Masterpass
2018-08-07,Recruiter questions
2018-08-07,Microsoft Decides Not to Kill Off Classic Skype Because It Is “Listening”
2018-08-07,BBC Wants Microsoft to Expose 'Doctor Who' Leaker
2018-08-07,"Microsoft adding support for Movies Anywhere, giving away free X-Men movie"
2018-08-07,"Fuchsia, Android and Microsoft"
2018-08-08,The Surface Go is Microsoft’s hybrid PC dream made real
2018-08-08,Microsoft is Bringing Spotify to Skype
2018-08-09,Microsoft OneNote: An insider’s guide (free PDF)
2018-08-09,Microsoft Pay is now available with Masterpass
2018-08-09,A conversation with Microsoft CTO Kevin Scott
2018-08-09,Microsoft adding sandbox security feature to Windows 10 called 'InPrivate Desktop'
2018-08-09,Microsoft's decision to rejoin Movies Anywhere is a single step toward regaining consumer trust
2018-08-09,Microsoft: Official Support Thread
2018-08-10,"Microsoft Arc Touch Mouse - counterfeit vs real ? ( Bluetrack Technology, Black (RVF-00052) )"
2018-08-10,Microsoft Demands Gab.ai Remove Anti-Semitic Threats
2018-08-11,Microsoft’s undersea data center now has a webcam with fish swimming past 27.6 petabytes of data
2018-08-11,Satya Nadella unloads 30% of his Microsoft common stock in his biggest sale as CEO
2018-08-12,Penn State students begin transition from WebMail to Microsoft Outlook
2018-08-12,"God of War Producer Leaves for New Microsoft Studio ""The Initiative"""
2018-08-12,Why doesn’t Microsoft make a Windows smartwatch or an Xbox handheld?
2018-08-12,Skype finally trying to listen to end users
2018-08-13,Microsoft Hires Red Dead Redemption's Writer And Designer For Its New Studio
2018-08-14,"Amazon, Alphabet, Microsoft and others make health data pledge"
2018-08-14,Linkedin Job Post Confirms Windows Core OS Is All About Devices
2018-08-14,"Im in high school right now, but in 7th grade in a different district than I’m currently in, I got certified in word PowerPoint and excel. Only problem is, I have no idea how to prove it to my teacher in this district. Is there a website I can check on or?"
2018-08-15,Announcing Windows Admin Center Preview 1808
2018-08-15,"What's the pay for ""Gaming Expert"" at the Microsoft Store? (Retail)"
2018-08-15,NDI in Skype has been Disabled until further notice. . .
2018-08-15,Microsoft quietly makes 'Your Phone' Android app available to mainstream Windows 10 users
2018-08-15,Is ARM64 development now officially supported?
2018-08-15,Alexa and Cortana integration starts rolling out today
2018-08-16,Microsoft Edge beta for Android rolls out breaking news alerts and more
2018-08-17,Microsoft’s new Xbox avatars now available for Windows 10 testers
2018-08-17,"Windows 10 updates: Expect slimmed-down, full-quality versions, says Microsoft"
2018-08-18,"With Q#, Microsoft is throwing programmers the keys to quantum"
2018-08-18,Microsoft Looking to ‘Restrict’ Momo Suicide Game Mod in Minecraft
2018-08-18,"Microsoft just gave big, surprise bonuses to keep engineers from going to Amazon, sources say"
2018-08-19,Microsoft's AI Challenge is an open invitation for innovations
2018-08-19,Windows laptops from the Microsoft store
2018-08-20,Microsoft brings Minecraft: Education Edition to Apple iPad
2018-08-20,Windows 10's next big feature release officially named build 1809
2018-08-20,This is not your father's Microsoft
2018-08-21,Why Microsoft must bring sign language recognition to Windows and Cortana
2018-08-21,Microsoft isn't cool and CEO Satya Nadella is OK with that (Interview)
2018-08-21,"Raytracing explained: Nvidia, Microsoft lead the way in revolutionizing gaming graphics"
2018-08-21,"The Russians tried to hack the Senate and conservative think tanks, Microsoft says"
2018-08-21,Skype's End-to-End Encryption Goes Live
2018-08-21,Microsoft Store will stop accepting Windows 8 and Windows Phone 8 apps on October 31
2018-08-22,Israel to end licensing agreement with Microsoft
2018-08-22,How to connect Alexa and Cortana
2018-08-22,Which Microsoft skills are most in demand?
2018-08-22,Huawei matebook pro is on the Microsoft website?
2018-08-23,Report: “Xbox All Access” to offer free hardware with two-year agreement
2018-08-23,"Does anyone have old Microsoft Campus photos or know where to find them? Like, late 80's early 90's?"
2018-08-23,Microsoft is making a change to Windows 8 that will affect millions of users
2018-08-23,"Microsoft Surface Go: Release date, news and features"
2018-08-23,Can someone explain surface models?
2018-08-24,Licensing virtual machines
2018-08-24,Microsoft Hit With U.S. Bribery Probe Over Deals in Hungary
2018-08-24,Contacted by a recruiter who told me to apply for two internships before onsite interviews at my school. Some questions.
2018-08-24,Microsoft Bug Testers Unionized. Then They Were Dismissed
2018-08-24,How easy is it to switch teams?
2018-08-25,Intel reportedly convinced Microsoft not to choose ARM for Surface Go
2018-08-25,Microsoft PowerPoint and Excel pass 500 million installs on the Play Store
2018-08-25,Microsoft Hit With U.S. Bribery Probe Over Deals in Hungary
2018-08-25,"Could someone please ELI5 difference between Microsoft Office, Office 365 and Office Online?"
2018-08-25,"Bill Gates’s first business card, 1976"
2018-08-26,Regarding the GLAS thermostat.
2018-08-26,Why does the Playstore say I'm not allowed to download Microsoft Cortana for my android phone?
2018-08-26,Popular MP3Tag editor is now in the Microsoft Store
2018-08-26,Microsoft Teams is now a complete meeting and calling solution
2018-08-27,Microsoft Switches On Dynamics CRM 2013 Cloud Worldwide
2018-08-27,Microsoft Explains the Ninja Theory Acquisition
2018-08-27,Microsoft Certified Professional
2018-08-27,Microsoft is about to announce Xbox All Access subscription
2018-08-28,Microsoft announces ‘Xbox All Access’ with two-year console financing
2018-08-28,"Microsoft Office Lens App Gets Text Annotations on iOS, Android"
2018-08-28,Microsoft Authenticator Apple Watch app now available via public preview
2018-08-28,Xbox All Access is official today. Finally
2018-08-29,How do Microsoft Open Licenses work?
2018-08-29,Microsoft adds support for Google Gmail IDs to Azure Active Directory | ZDNet
2018-08-29,How the Windows 10 calendar alert sound was composed
2018-08-30,Microsoft Store on Windows 10 will soon get better navigation and other UI enhancements
2018-08-30,Microsoft OneDrive is going to transcribe your audio and video files to make searching easier
2018-08-30,"Microsoft to require paid parental leave for all workers, even subcontractors"
2018-08-31,Microsoft removes device install limits for Office 365 subscribers
2018-09-01,UWP Alexa app reportedly in the works for Windows 10 in S mode
2018-09-01,Simplicity and familiarity—updates to the Skype user experience | Skype Blogs
2018-09-01,Microsoft quietly shuts down Surface Plus financing program for consumers
2018-09-02,Microsoft Authenticator companion app for Apple Watch now in public preview
2018-09-02,MACH Program Interview
2018-09-02,Turn Whiteboard UX Sketches into Working HTML in Seconds – Introducing Sketch2Code
2018-09-02,What are the advantages of learning Microsoft Office in CS Career?
2018-09-02,Great news for Microsoft as Windows Mixed Reality finally shows good traction in latest SteamVR numbers
2018-09-02,$600 Chromebooks are a dangerous development for Microsoft
2018-09-03,Microsoft Teams Value for Developers
2018-09-03,Say goodbye to highlights: Microsoft goes back to basics with Skype redesign
2018-09-04,365 problems?
2018-09-04,"Satya Nadella: ""The way games are being built is fundamentally changing, and with our PlayFab platform, we’re focused on democratizing game development and enabling developers to optimize the gamer experience based on real-time data..."""
2018-09-04,"Parallels Desktop 14 for Mac, First Take: Faster, more efficient and macOS Mojave-ready Review | ZDNet"
2018-09-04,Why Does Linus Pirate Windows??
2018-09-04,Microsoft’s redesigned Outlook is now available on Windows and the web
2018-09-04,There’s a Microsoft outage going on this morning and it’s huge.
2018-09-05,Microsoft's Brad Smith: We're focused on democratizing A.I.
2018-09-05,Microsoft South Central U.S. datacenter outage takes down a number of cloud services
2018-09-05,Our users are Getting a message “Throttled” Lots of reports from the industry too.
2018-09-06,"Armed with my bachelors and 5+ years of experience in Marketing, I'm ready to pursue my dream of working at Microsoft. I would love your advice!"
2018-09-06,"Microsoft is slowing down Windows 10 update pace for businesses. Good news for IT admins, as the September updates are now supported for 30 months. Details here:"
2018-09-06,Microsoft Surface Go review: tablet that's better for work than play
2018-09-07,Microsoft updates 'Your Phone' for Android with SMS support | ZDNet
2018-09-07,Microsoft is doing a fall Surface event on October 2nd in NYC. There will be Surface alongside Microsoft software and services news.
2018-09-07,New Microsoft hardware launching on October 2
2018-09-07,Expanding Xbox Voice Commands to Hundreds of Millions of Smart Devices: Xbox Now Connects with Cortana and Alexa-Enabled Devices
2018-09-07,'Your Phone' SMS integration with Android now rolling out for Insiders on Windows 10
2018-09-07,Working at Microsoft
2018-09-08,Microsoft Considering Huawei AI Chips In Blow To NVIDIA: Report
2018-09-08,Microsoft 365: The next Office 366 success
2018-09-09,What's the purpose of Dreamspark?
2018-09-09,"I cannot remember when i created my Microsoft account all i know is it was sometime between 2008-10 when i was in school. I know school accounts aren’t active forever and expire eventually, is there any way to check if my account is a school account or a normal account."
2018-09-09,Interview @ Microsoft for Network Engineer
2018-09-09,Microsoft's universal take on 'touch' tech makes Apple's look terrible
2018-09-10,Why Microsoft thinks Amazon's expansion is actually an opportunity for the software giant
2018-09-11,Helping customers shift to a modern desktop
2018-09-11,"A kinder, gentler Microsoft is replacing feedback with “perspectives”"
2018-09-11,Are Microsoft courses and courses on EDX worth doing?
2018-09-11,Microsoft extends paid Windows 7 support until 2023
2018-09-12,"Microsoft Patches 61 Vulns, One Under Active Attack - Dark Reading"
2018-09-12,Windows 10 will use the cloud to free up disk space
2018-09-12,Open letter Re: In-store Hololens demo units
2018-09-12,"Come on Microsoft, add a signature confirmation to shipments!"
2018-09-12,Microsoft Apps on Android gets rebranded as Your Phone Companion app!
2018-09-12,Microsoft intercepting Firefox and Chrome installation on Windows 10
2018-09-13,Does anyone here use the Microsoft shuttle? Is the hour long commute worth living in Seattle if you don't drive?
2018-09-13,AMD confirms it’s working with Microsoft on the future of cloud gaming
2018-09-14,Microsoft adds Antivirus to Office Apps to tackle macro malware
2018-09-14,Microsoft Explore Program Question
2018-09-14,Microsoft confirms that Microsoft Edge popup is just an experiment
2018-09-14,Microsoft acquires AI startup Lobe to help people make deep learning models without code
2018-09-15,Microsoft is planning to re-organize Windows team after RS5 rollout
2018-09-15,Fantastic Support!!
2018-09-15,Microsoft Details Azure Preparation for Hurricane Florence
2018-09-15,Microsoft releases new Windows 10 preview with acrylic sign-in screen
2018-09-15,Next Gen Surface Pro and Laptop coming in Black - Brad Sams
2018-09-16,Microsoft may dazzle us soon with an updated Surface Dial 2
2018-09-16,Good news : Microsoft Windows U-turn removes warning about installing other browsers
2018-09-17,"Microsoft says Game Pass an ""early success"""
2018-09-17,200 jobs to be created at Microsoft in Dublin
2018-09-17,The Garage is the place to be at Microsoft - The Boston Globe
2018-09-17,Optimised Ubuntu Desktop images available in Microsoft Hyper-V gallery
2018-09-17,Is it time for a Windows Phone revival?
2018-09-18,Microsoft joins Hacktoberfest 2018!
2018-09-18,Microsoft lists removed and deprecated features in Windows 10 October 2018 Update
2018-09-18,"Linux on Windows 10: Running Ubuntu VMs just got a lot easier, says Microsoft"
2018-09-19,Microsoft Introduces HoloLens to Businesses Through Dynamics 365 Apps
2018-09-19,Improving Teamwork and Collaboration with Microsoft Teams
2018-09-20,Microsoft Ignite 2018: All the most exciting sessions
2018-09-20,Introducing Bing AMP viewer and Bing AMP cache
2018-09-20,Microsoft Retail stores: Assistant manager salary
2018-09-20,Which Brand of Phone and Laptop do you think will be most complementary and compatible with the Microsoft Software Ecosystem?
2018-09-21,Microsoft MACH Internship Interview
2018-09-21,Microsoft warns Windows 10 users to free up storage space for the big October update
2018-09-22,Windows CE works on MIPS processors.
2018-09-22,Microsoft cafes and restaurants by Building Number
2018-09-22,For the people that have been to Microsoft ignite before: What’s the dress common code?
2018-09-22,Microsoft plans to push .Net Framework updates with Cumulative Updates starting next month
2018-09-22,"Hypothetically, what would happen if Microsoft abandoned its hardware partners and decided to support only Surface PCs, in the same way as Apple?"
2018-09-23,Microsoft’s family accounts feature can go to hell
2018-09-23,MICROSOFT SURFACE MOUSE BENDIS. Is this compatible on Mac OS ?
2018-09-23,Student Discount in Store?
